Time,u1,y1,y2,x1,x2,x3
9860,12049290,12008163,966.6181030273438,12008354,0.6635681390762329,545.552734375
9870,12090226,12049099,967.309326171875,12049290,0.6640948057174683,545.9857788085938
9880,12131162,12090035,968.0003662109375,12090226,0.6646215319633484,546.4188232421875
9890,12172098,12130971,968.6913452148438,12131162,0.6651482582092285,546.8518676757813
9900,12213034,12171907,969.3822631835938,12172098,0.6656749844551086,547.2848510742188
9910,12253970,12212843,970.0730590820313,12213034,0.666201651096344,547.7178955078125
9920,12294906,12253779,970.7637329101563,12253970,0.6667283773422241,548.1509399414063
9930,12335842,12294715,971.4542846679688,12294906,0.6672550439834595,548.583984375
9940,12376778,12335652,972.144775390625,12335842,0.6677817702293396,549.0169677734375
9950,12417715,12376588,972.8351440429688,12376778,0.668308436870575,549.4500122070313
9960,12458651,12417524,973.525390625,12417715,0.6688351631164551,549.8829956054688
9970,12499587,12458460,974.215576171875,12458651,0.6693618297576904,550.3160400390625
9980,12540523,12499396,974.9055786132813,12499587,0.6698884963989258,550.7490234375
9990,12581459,12540332,975.5955810546875,12540523,0.6704151630401611,551.1820678710938
10000,12622395,12581268,976.285400390625,12581459,0.6709418296813965,551.6150512695313
10010,12663331,12622204,976.9751586914063,12622395,0.6714684963226318,552.0480346679688
10020,12704267,12663140,977.664794921875,12663331,0.6719951629638672,552.4810791015625
10030,12745203,12704076,978.3543090820313,12704267,0.6725218296051025,552.9140625
10040,12786140,12745012,979.0437622070313,12745203,0.6730484962463379,553.3470458984375
10050,12827076,12785948,979.7330932617188,12786140,0.6735751628875732,553.780029296875
10060,12868012,12826885,980.4223022460938,12827076,0.6741017699241638,554.2130126953125
10070,12908948,12867821,981.1114501953125,12868012,0.6746284365653992,554.64599609375
10080,12949884,12908757,981.8004760742188,12908948,0.6751550436019897,555.0789184570313
10090,12990820,12949693,982.4893798828125,12949884,0.6756816506385803,555.5119018554688
10100,13031756,12990629,983.17822265625,12990820,0.6762083172798157,555.9448852539063
10110,13072692,13031565,983.8668823242188,13031756,0.6767349243164063,556.3778076171875
10120,13113628,13072501,984.5555419921875,13072692,0.6772615313529968,556.810791015625
10130,13154564,13113437,985.2440185546875,13113628,0.6777881383895874,557.2437133789063
10140,13195501,13154373,985.9324340820313,13154564,0.6783146858215332,557.6766357421875
10150,13236437,13195309,986.6207275390625,13195501,0.6788412928581238,558.1095581054688
10160,13277373,13236245,987.3088989257813,13236437,0.6793678402900696,558.54248046875
10170,13318309,13277181,987.9970092773438,13277373,0.6798944473266602,558.9754028320313
10180,13359245,13318118,988.6849365234375,13318309,0.680420994758606,559.4083251953125
10190,13400181,13359054,989.3728637695313,13359245,0.6809475421905518,559.8412475585938
10200,13441117,13399990,990.0606079101563,13400181,0.6814740896224976,560.2741088867188
10210,13482053,13440926,990.748291015625,13441117,0.6820006370544434,560.70703125
10220,13522989,13481862,991.4358520507813,13482053,0.6825271844863892,561.139892578125
10230,13563925,13522798,992.123291015625,13522989,0.6830536723136902,561.5728149414063
10240,13604862,13563734,992.8106689453125,13563925,0.683580219745636,562.0056762695313
10250,13645798,13604670,993.4979248046875,13604862,0.684106707572937,562.4385375976563
10260,13686734,13645606,994.18505859375,13645798,0.684633195400238,562.8713989257813
10270,13727670,13686542,994.8720703125,13686734,0.6851596832275391,563.3042602539063
10280,13768606,13727478,995.5590209960938,13727670,0.6856861114501953,563.737060546875
10290,13809542,13768411,996.2457885742188,13768606,0.6862125992774963,564.1698608398438
10300,13850478,13809346,996.9324951171875,13809542,0.6867390275001526,564.6027221679688
10310,13891414,13850282,997.619140625,13850478,0.6872654557228088,565.0355224609375
10320,13932350,13891219,998.3056640625,13891414,0.6877918839454651,565.4683227539063
10330,13973287,13932157,998.9921264648438,13932350,0.6883183717727661,565.901123046875
10340,14014223,13973096,999.678466796875,13973287,0.6888447999954224,566.333984375
10350,14055159,14014033,1000.36474609375,14014223,0.6893712878227234,566.7667846679688
10360,14096095,14054968,1001.050903320313,14055159,0.6898977756500244,567.19970703125
10370,14137031,14095904,1001.736999511719,14096095,0.6904243230819702,567.632568359375
10380,14177967,14136839,1002.423034667969,14137031,0.690950870513916,568.0654296875
10390,14218903,14177775,1003.108947753906,14177967,0.691477358341217,568.4983520507813
10400,14259839,14218711,1003.794738769531,14218903,0.6920039057731628,568.9312744140625
10410,14300775,14259646,1004.48046875,14259839,0.6925305128097534,569.3641357421875
10420,14341711,14300582,1005.166137695313,14300775,0.6930570602416992,569.7970581054688
10430,14382648,14341518,1005.851684570313,14341711,0.693583607673645,570.22998046875
10440,14423584,14382455,1006.537170410156,14382648,0.6941102147102356,570.6629028320313
10450,14464520,14423391,1007.222534179688,14423584,0.6946368217468262,571.0958862304688
10460,14505456,14464327,1007.907775878906,14464520,0.695163369178772,571.52880859375
10470,14546392,14505263,1008.593017578125,14505456,0.6956899762153625,571.9617309570313
10480,14587328,14546199,1009.278076171875,14546392,0.6962165832519531,572.3947143554688
10490,14628264,14587136,1009.963134765625,14587328,0.6967431902885437,572.82763671875
10500,14669200,14628072,1010.648010253906,14628264,0.6972698569297791,573.2606201171875
10510,14710136,14669008,1011.332824707031,14669200,0.6977964639663696,573.693603515625
10520,14751073,14709292,1012.006652832031,14710136,0.6983147263526917,574.11962890625
10530,14792009,14749412,1012.677673339844,14751073,0.6988308429718018,574.5440063476563
10540,14832945,14789816,1013.353332519531,14792009,0.6993506550788879,574.9713745117188
10550,14873881,14830477,1014.033203125,14832945,0.6998737454414368,575.4014282226563
10560,14914817,14871363,1014.716735839844,14873881,0.7003997564315796,575.8338623046875
10570,14955753,14912445,1015.403503417969,14914817,0.700928270816803,576.2684326171875
10580,14996689,14953694,1016.092895507813,14955753,0.7014589905738831,576.7047119140625
10590,15037625,14995079,1016.784484863281,14996689,0.7019913792610168,577.1424560546875
10600,15078561,15036571,1017.477783203125,15037625,0.7025251984596252,577.5813598632813
10610,15119497,15078141,1018.172302246094,15078561,0.7030600309371948,578.0210571289063
10620,15160434,15119757,1018.867492675781,15119497,0.7035954594612122,578.4612426757813
10630,15201370,15161392,1019.562866210938,15160434,0.7041311264038086,578.901611328125
10640,15242306,15203014,1020.257934570313,15201370,0.7046666741371155,579.3419189453125
10650,15283242,15244594,1020.952270507813,15242306,0.7052016258239746,579.78173828125
10660,15324178,15286102,1021.645263671875,15283242,0.7057356834411621,580.2208251953125
10670,15365114,15327509,1022.336486816406,15324178,0.7062684297561646,580.6588134765625
10680,15406050,15368784,1023.025390625,15365114,0.7067995071411133,581.0953979492188
10690,15446986,15409897,1023.711547851563,15406050,0.7073284983634949,581.5303344726563
10700,15487922,15450820,1024.394409179688,15446986,0.7078549861907959,581.9631958007813
10710,15528859,15491521,1025.073486328125,15487922,0.7083786725997925,582.3937377929688
10720,15569795,15531971,1025.748291015625,15528859,0.7088991403579712,582.8216552734375
10730,15610731,15572140,1026.418334960938,15569795,0.7094160318374634,583.24658203125
10740,15651667,15611998,1027.083129882813,15610731,0.7099288702011108,583.668212890625
10750,15692603,15651515,1027.742065429688,15651667,0.7104372978210449,584.0862426757813
10760,15733539,15715814,1028.814086914063,15692603,0.7112646102905273,584.7664184570313
10770,15774475,15767187,1029.670532226563,15733539,0.7119256854057312,585.3099365234375
10780,15815411,15806355,1030.323364257813,15774475,0.7124297022819519,585.7243041992188
