PCADimension1,PCADimension9,PCADimension25,PCADimension27,PCADimension12,PCADimension2,PCADimension8,PCADimension10,PCADimension11,PCADimension23,PCADimension29,PCADimension24,PCADimension6,PCADimension13,BOP.portElec_b.W,BOP.steamTurbine.portHP.p,Time,SC.demand_BOP.y[1]
5.2748136799,1.58630554182,0.571720806348,0.386319593155,-3.29476083436,-3.63934807282,-2.51806661829,-0.0262795750784,-0.177243165083,0.138185189116,0.0558951801783,0.162846141498,0.216803971858,0.629053610854,784950000.0,3902400.0,84580,784990000.0
5.27288846654,1.55851498285,0.570223220452,0.387885473201,-3.27338639356,-3.63888597983,-2.52201710166,-0.0177249273518,-0.166674436228,0.136051968355,0.0602687501537,0.138070000674,0.212601336299,0.578096385154,784990000.0,3902500.0,84590,785030000.0
5.27396491265,1.58728770554,0.578025864019,0.38760239397,-3.26541473104,-3.65530673926,-2.52894797514,-0.0220211815241,-0.177880231521,0.146283130392,0.0546020704032,0.181262930614,0.213891499488,0.609205823024,785030000.0,3902700.0,84600,785060000.0
5.2763880388,1.58608392486,0.577432943234,0.387165371028,-3.26629356091,-3.65607536237,-2.52972387456,-0.0213047944742,-0.177874616453,0.145867401591,0.0546982636488,0.181310795305,0.213706985802,0.60974286681,785060000.0,3902800.0,84610,785100000.0
5.2775136516,1.58237671514,0.576086142356,0.387081283223,-3.26742176633,-3.6540543385,-2.52904855228,-0.0206122588902,-0.17605781415,0.14417825484,0.0555705986382,0.174944234376,0.213553755404,0.605566718346,785100000.0,3903000.0,84620,785140000.0
5.27844903653,1.57454700779,0.573930072993,0.387289045777,-3.26972218502,-3.64965481792,-2.52741482274,-0.0193552100025,-0.172554596273,0.141042886622,0.057160436923,0.162184889404,0.213217166356,0.596884462363,785140000.0,3903200.0,84630,785170000.0
5.27980625644,1.61077725472,0.583489881859,0.386687077523,-3.25962554648,-3.67038340194,-2.53612632866,-0.0248518531991,-0.186792148552,0.153956038399,0.0501029508362,0.21691280481,0.214841636157,0.636168207352,785170000.0,3903300.0,84640,785210000.0
5.28079607383,1.57076297772,0.572273464068,0.387143010449,-3.27091433003,-3.64763511068,-2.52688732171,-0.0186443424526,-0.170328992022,0.138979513639,0.0581374832046,0.154865273317,0.213074156127,0.592408420202,785210000.0,3903500.0,84650,785250000.0
5.28215392468,1.57475148743,0.573495782477,0.387294664083,-3.26989725351,-3.6500689742,-2.5280541514,-0.0191978937798,-0.171585541052,0.140244826945,0.0573976592687,0.16023908065,0.213266204077,0.596655680546,785250000.0,3903600.0,84660,785280000.0
5.28337662194,1.59906090403,0.579732786666,0.386843451509,-3.26314269655,-3.66389882622,-2.53385256029,-0.0227086150834,-0.180966231761,0.148742430412,0.0527252611746,0.196502891602,0.214365473167,0.622773244108,785280000.0,3903800.0,84670,785320000.0
